Previous,Direction
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,-1
-1,1
1,1
1,1
1,1
1,-1
-1,1
1,-1